symbol,timeframe,phase,mean_h2_bars_per_month,mean_days_per_month
BTC_USD,1d,accumulation,60.36,5.03
BTC_USD,1d,bear,62.18,5.18
BTC_USD,1d,distribution,224.73,18.73
BTC_USD,1d,euphoria,2.91,0.24
BTC_USD,1d,expansion,28.73,2.39
BTC_USD,2h,accumulation,54.3,11.12
BTC_USD,2h,bear,6.21,1.24
BTC_USD,2h,distribution,283.77,31.1
BTC_USD,2h,euphoria,1.05,0.21
BTC_USD,2h,expansion,1.73,0.42
BTC_USDT,1d,accumulation,41.57,3.46
BTC_USDT,1d,bear,81.4,6.78
BTC_USDT,1d,distribution,200.41,16.7
BTC_USDT,1d,euphoria,25.73,2.14
BTC_USDT,1d,expansion,42.19,3.52
BTC_USDT,2h,accumulation,58.7,12.45
BTC_USDT,2h,bear,6.67,1.39
BTC_USDT,2h,distribution,313.06,34.43
BTC_USDT,2h,euphoria,0.58,0.19
BTC_USDT,2h,expansion,1.28,0.25
