seed,eq_final,eq_pct,mdd_max,mdd_pct,trades_total,monthly_geo,monthly_pct,sharpe_mean,method
1003,1.8478444823750997,84.78444823750996,0.1493770529248808,14.93770529248808,423,0.003661567069777494,0.3661567069777494,10.77873206358889,1D_stable
1001_test,1.340282647252479,34.028264725247894,0.12922666025238894,12.922666025238893,783,0.0017448569379119316,0.17448569379119316,-0.39040399609728516,1D_stable
412,2.236027378836119,123.6027378836119,0.08008726755590623,8.008726755590622,401,0.0048013755532174685,0.48013755532174685,19.084145185595876,1D_stable
275,1.6391577214197128,63.91577214197128,0.12747270979458725,12.747270979458724,392,0.0029458932918857705,0.29458932918857705,7.562991661053023,1D_stable
97,1.2652308429213854,26.52308429213854,0.12227467688154492,12.227467688154492,462,0.0014013058535797818,0.14013058535797818,140.11128569509123,1D_stable
692,1.3930124942351327,39.301249423513276,0.12997147925409047,12.997147925409047,432,0.0019749754622677695,0.19749754622677695,21.171428059014367,1D_stable
480,2.12103350087533,112.10335008753299,0.12230737152575688,12.230737152575688,428,0.004485646422183409,0.4485646422183409,12.220613118192071,1D_stable
627,2.6020167565373957,160.20167565373958,0.06691798212732969,6.691798212732969,394,0.005708414710723586,0.5708414710723586,15.623994912273258,1D_stable
443,1.771884327862833,77.18843278628329,0.12228597235354366,12.228597235354366,389,0.003410824934064749,0.3410824934064749,13.805416096373362,1D_stable
254,2.532079705705838,153.20797057058383,0.08518401596702396,8.518401596702397,330,0.005545324558839937,0.5545324558839937,-0.5432617355908095,1D_stable
435,1.6769262116873043,67.69262116873043,0.09147404190150199,9.1474041901502,444,0.003081896938577744,0.3081896938577744,22.4042152827753,1D_stable
752,1.6226042830358351,62.26042830358352,0.09286625396554282,9.286625396554282,502,0.002885299968266475,0.2885299968266475,7.4022495441181215,1D_stable
761,1.2449052807502494,24.49052807502494,0.12198805451686556,12.198805451686557,421,0.00130477576175414,0.130477576175414,1.6369112076897885,1D_stable
501,1.2467677086671076,24.67677086671076,0.11069023960467261,11.069023960467261,477,0.0013136857564022275,0.13136857564022275,5.782486316372435,1D_stable
589,1.7515112417011027,75.15112417011028,0.12560233482738392,12.560233482738392,437,0.0033417556735317877,0.33417556735317877,5.733390808318719,1D_stable
968,1.5768007085600453,57.68007085600453,0.11506781289703383,11.506781289703383,430,0.0027143792162211966,0.27143792162211966,9.756576090746425,1D_stable
552,2.9873205496943025,198.73205496943024,0.11436138217589331,11.436138217589331,419,0.006535411114138467,0.6535411114138467,27.410439193269656,1D_stable
9999_test,2.152757432511955,115.2757432511955,0.08503505782171505,8.503505782171505,463,0.0045744162437959535,0.45744162437959535,-1.545264037841194,1D_stable
8888_quicktest,1.4748268514076162,47.48268514076162,0.20754395973560358,20.754395973560356,693,0.0023154180809417113,0.23154180809417113,-1.8905384232511333,1D_stable
7777_quicktest,1.6429773233765732,64.29773233765732,0.11935444870898737,11.935444870898737,288,0.0029597884369036986,0.29597884369036986,15.002942433866977,1D_stable
1001_test,1.340282647252479,34.028264725247894,0.12922666025238894,12.922666025238893,783,0.0017448569379119316,0.17448569379119316,-0.39040399609728516,1D_stable
