file_path,run_ts,symbol,tenkan,kijun,senkou_b,shift,atr_mult,equity_mult,max_drawdown,trades,sharpe_proxy
E:\ichimoku_outputs\outputs\baseline_btc_only\BTC_BASELINE_T9_K26_S52_SH26_ATR3.0_20250912_042657.json,2025-10-04T00:08:36.095579+00:00,BTC/USDT,9,26,52,26,3.0,2.588310323814101,1.0,1078,1.7905964847782057
E:\ichimoku_outputs\outputs\baseline_btc_only\BTC_BASELINE_T9_K26_S52_SH26_ATR5.0_20250912_042813.json,2025-10-04T00:08:36.095996+00:00,BTC/USDT,9,26,52,26,5.0,3.136589197670264,1.0,1027,2.027537499787595
E:\ichimoku_outputs\outputs\baseline_btc_only\BTC_BASELINE_T9_K26_S52_SH26_ATR5.0_20250912_095111.json,2025-10-04T00:08:36.096367+00:00,BTC/USDT,9,26,52,26,5.0,3.136589197670264,1.0,1027,2.027537499787595
E:\ichimoku_outputs\outputs\baseline_btc_only\BTC_BASELINE_T9_K26_S52_SH26_ATR8.0_20250912_082841.json,2025-10-04T00:08:36.096812+00:00,BTC/USDT,9,26,52,26,8.0,5.13019538037296,1.0,1009,1.195120730678591
E:\ichimoku_outputs\outputs\baseline_btc_only\BTC_BASELINE_T9_K26_S52_SH26_ATR8.0_20250912_095258.json,2025-10-04T00:08:36.097226+00:00,BTC/USDT,9,26,52,26,8.0,5.13019538037296,1.0,1009,1.195120730678591
E:\ichimoku_outputs\outputs\baseline_fixed_A\BTC_BASELINE_T6_K6_S36_SH25_ATR6.1_20251002_133500.json,2025-10-04T00:08:36.097635+00:00,BTC/USDT,6,6,36,25,6.1,1.5223695750951405,1.0,1156,0.8291145761810834
E:\ichimoku_outputs\outputs\baseline_fixed_B\BTC_BASELINE_T22_K22_S198_SH37_ATR9.3_20251002_133504.json,2025-10-04T00:08:36.098014+00:00,BTC/USDT,22,22,198,37,9.3,13.484559933234014,1.0,510,1.8888888992471617
E:\ichimoku_outputs\outputs\baseline_fixed_C\BTC_BASELINE_T26_K78_S156_SH70_ATR8.2_20251002_133506.json,2025-10-04T00:08:36.098386+00:00,BTC/USDT,26,78,156,70,8.2,9.364935843873603,1.0,441,1.8383640812287643
E:\ichimoku_outputs\outputs\baseline_fixed_D\BTC_BASELINE_T17_K85_S136_SH63_ATR14.5_20251002_133515.json,2025-10-04T00:08:36.098810+00:00,BTC/USDT,17,85,136,63,14.5,8.31967706569549,1.0,485,1.7274039799566452
