"K","Kind","Seed"
"k2","phase","2"
"k2","phase","3"
"k2","phase","4"
"k2","phase","5"
"k2","phase","6"
"k2","phase","7"
"k2","phase","8"
"k2","phase","9"
"k2","phase","10"
"k2","phase","11"
"k2","phase","12"
"k2","phase","13"
"k2","phase","14"
"k2","phase","15"
"k2","phase","16"
"k2","phase","17"
"k2","phase","18"
"k2","phase","19"
"k2","phase","20"
"k2","phase","21"
"k2","phase","22"
"k2","phase","23"
"k2","phase","24"
"k2","phase","25"
"k2","phase","26"
"k2","phase","27"
"k2","phase","28"
"k2","phase","29"
"k2","phase","30"
"k2","fixed","2"
"k2","fixed","3"
"k2","fixed","4"
"k2","fixed","5"
"k2","fixed","6"
"k2","fixed","7"
"k2","fixed","8"
"k2","fixed","9"
"k2","fixed","10"
"k2","fixed","11"
"k2","fixed","12"
"k2","fixed","13"
"k2","fixed","14"
"k2","fixed","15"
"k2","fixed","16"
"k2","fixed","17"
"k2","fixed","18"
"k2","fixed","19"
"k2","fixed","20"
"k2","fixed","21"
"k2","fixed","22"
"k2","fixed","23"
"k2","fixed","24"
"k2","fixed","25"
"k2","fixed","26"
"k2","fixed","27"
"k2","fixed","28"
"k2","fixed","29"
"k2","fixed","30"
"k3","phase","2"
"k3","phase","3"
"k3","phase","4"
"k3","phase","5"
"k3","phase","6"
"k3","phase","7"
"k3","phase","8"
"k3","phase","9"
"k3","phase","10"
"k3","phase","11"
"k3","phase","12"
"k3","phase","13"
"k3","phase","14"
"k3","phase","15"
"k3","phase","16"
"k3","phase","17"
"k3","phase","18"
"k3","phase","19"
"k3","phase","20"
"k3","phase","21"
"k3","phase","22"
"k3","phase","23"
"k3","phase","24"
"k3","phase","25"
"k3","phase","26"
"k3","phase","27"
"k3","phase","28"
"k3","phase","29"
"k3","phase","30"
"k3","fixed","2"
"k3","fixed","3"
"k3","fixed","4"
"k3","fixed","5"
"k3","fixed","6"
"k3","fixed","7"
"k3","fixed","8"
"k3","fixed","9"
"k3","fixed","10"
"k3","fixed","11"
"k3","fixed","12"
"k3","fixed","13"
"k3","fixed","14"
"k3","fixed","15"
"k3","fixed","16"
"k3","fixed","17"
"k3","fixed","18"
"k3","fixed","19"
"k3","fixed","20"
"k3","fixed","21"
"k3","fixed","22"
"k3","fixed","23"
"k3","fixed","24"
"k3","fixed","25"
"k3","fixed","26"
"k3","fixed","27"
"k3","fixed","28"
"k3","fixed","29"
"k3","fixed","30"
"k5","phase","2"
"k5","phase","3"
"k5","phase","4"
"k5","phase","5"
"k5","phase","6"
"k5","phase","7"
"k5","phase","8"
"k5","phase","9"
"k5","phase","10"
"k5","phase","11"
"k5","phase","12"
"k5","phase","13"
"k5","phase","14"
"k5","phase","15"
"k5","phase","16"
"k5","phase","17"
"k5","phase","18"
"k5","phase","19"
"k5","phase","20"
"k5","phase","21"
"k5","phase","22"
"k5","phase","23"
"k5","phase","24"
"k5","phase","25"
"k5","phase","26"
"k5","phase","27"
"k5","phase","28"
"k5","phase","29"
"k5","phase","30"
"k5","fixed","2"
"k5","fixed","3"
"k5","fixed","4"
"k5","fixed","5"
"k5","fixed","6"
"k5","fixed","7"
"k5","fixed","8"
"k5","fixed","9"
"k5","fixed","10"
"k5","fixed","11"
"k5","fixed","12"
"k5","fixed","13"
"k5","fixed","14"
"k5","fixed","15"
"k5","fixed","16"
"k5","fixed","17"
"k5","fixed","18"
"k5","fixed","19"
"k5","fixed","20"
"k5","fixed","21"
"k5","fixed","22"
"k5","fixed","23"
"k5","fixed","24"
"k5","fixed","25"
"k5","fixed","26"
"k5","fixed","27"
"k5","fixed","28"
"k5","fixed","29"
"k5","fixed","30"
"k8","phase","2"
"k8","phase","3"
"k8","phase","4"
"k8","phase","5"
"k8","phase","6"
"k8","phase","7"
"k8","phase","8"
"k8","phase","9"
"k8","phase","10"
"k8","phase","11"
"k8","phase","12"
"k8","phase","13"
"k8","phase","14"
"k8","phase","15"
"k8","phase","16"
"k8","phase","17"
"k8","phase","18"
"k8","phase","19"
"k8","phase","20"
"k8","phase","21"
"k8","phase","22"
"k8","phase","23"
"k8","phase","24"
"k8","phase","25"
"k8","phase","26"
"k8","phase","27"
"k8","phase","28"
"k8","phase","29"
"k8","phase","30"
"k8","fixed","2"
"k8","fixed","3"
"k8","fixed","4"
"k8","fixed","5"
"k8","fixed","6"
"k8","fixed","7"
"k8","fixed","8"
"k8","fixed","9"
"k8","fixed","10"
"k8","fixed","11"
"k8","fixed","12"
"k8","fixed","13"
"k8","fixed","14"
"k8","fixed","15"
"k8","fixed","16"
"k8","fixed","17"
"k8","fixed","18"
"k8","fixed","19"
"k8","fixed","20"
"k8","fixed","21"
"k8","fixed","22"
"k8","fixed","23"
"k8","fixed","24"
"k8","fixed","25"
"k8","fixed","26"
"k8","fixed","27"
"k8","fixed","28"
"k8","fixed","29"
"k8","fixed","30"
