"seed","percent","phase","path"
"613","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_613"
"412","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_412"
"275","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_275"
"289","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_289"
"97","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_97"
"986","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_986"
"16","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_16"
"692","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_692"
"255","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_255"
"480","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_480"
"627","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_627"
"443","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_443"
"928","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_928"
"515","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_515"
"254","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_254"
"435","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_435"
"329","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_329"
"193","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_193"
"459","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_459"
"752","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_752"
"578","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_578"
"761","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_761"
"848","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_848"
"501","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_501"
"589","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_589"
"446","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_446"
"968","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_968"
"539","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_539"
"552","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_552"
"543","","init","E:\ichimoku_runs\wfa_phase_k3_1d_stable\seed_543"
