symbol,timeframe,label_set,label,dsh_mid_median,duration_days,duration_h2_bars,P1_med,P2_med,P3_med,P4_med,P5_med,P6_med,LFP_mean
BTC_USD,1d,phase5,accumulation,nan,20,240,30,15,10,nan,nan,nan,0.82
BTC_USD,1d,phase5,bear,nan,252,3024,30,15,10,nan,nan,nan,0.89
BTC_USD,1d,phase5,distribution,nan,5.5,66,30,15,10,nan,nan,nan,0.85
BTC_USD,1d,phase5,euphoria,nan,2,24,30,15,10,nan,nan,nan,0.94
BTC_USD,1d,phase5,expansion,nan,2.5,30,30,15,10,nan,nan,nan,0.83
BTC_USD,1d,phase6,accumulation,nan,20,240,30,15,10,nan,nan,nan,0.82
BTC_USD,1d,phase6,bear,nan,252,3024,30,15,10,nan,nan,nan,0.89
BTC_USD,1d,phase6,distribution,nan,5.5,66,30,15,10,nan,nan,nan,0.85
BTC_USD,1d,phase6,euphoria,nan,2,24,30,15,10,nan,nan,nan,0.94
BTC_USD,1d,phase6,expansion,nan,2.5,30,30,15,10,nan,nan,nan,0.83
BTC_USD,1d,regime3,down,nan,31,372,30,15,10,nan,nan,nan,0.89
BTC_USD,1d,regime3,range,nan,6,72,30,15,10,nan,nan,nan,0.8
BTC_USD,1d,regime3,up,nan,21,252,30,15,10,nan,nan,nan,0.9
BTC_USD,2h,phase5,accumulation,nan,1,15.5,360,180,90,nan,nan,nan,0.94
BTC_USD,2h,phase5,bear,nan,1,3,360,180,120,nan,nan,nan,0.93
BTC_USD,2h,phase5,distribution,nan,1,11,360,180,120,nan,nan,nan,0.92
BTC_USD,2h,phase5,euphoria,nan,1,2.5,360,135,81,nan,nan,nan,0.98
BTC_USD,2h,phase5,expansion,nan,1,6.5,360,180,120,nan,nan,nan,0.96
BTC_USD,2h,phase6,accumulation,nan,1,15.5,360,180,90,nan,nan,nan,0.94
BTC_USD,2h,phase6,bear,nan,1,4,360,180,120,nan,nan,nan,0.92
BTC_USD,2h,phase6,capitulation,nan,1,2.5,360,180,96,nan,nan,nan,0.91
BTC_USD,2h,phase6,distribution,nan,1,11,360,180,120,nan,nan,nan,0.92
BTC_USD,2h,phase6,euphoria,nan,1,2.5,360,135,81,nan,nan,nan,0.98
BTC_USD,2h,phase6,expansion,nan,1,6.5,360,180,120,nan,nan,nan,0.96
BTC_USD,2h,regime3,down,nan,1,22,360,180,90,nan,nan,nan,0.91
BTC_USD,2h,regime3,range,nan,6.5,86.5,360,180,120,nan,nan,nan,0.9
BTC_USD,2h,regime3,up,nan,2,34.5,360,180,120,nan,nan,nan,0.92
BTC_USDT,1d,phase5,accumulation,nan,11,132,30,15,10,nan,nan,nan,0.85
BTC_USDT,1d,phase5,bear,nan,26,312,30,15,10,nan,nan,nan,0.9
BTC_USDT,1d,phase5,distribution,nan,5,60,30,15,10,nan,nan,nan,0.89
BTC_USDT,1d,phase5,euphoria,nan,2,24,30,15,10,nan,nan,nan,0.93
BTC_USDT,1d,phase5,expansion,nan,3,36,30,15,10,nan,nan,nan,0.9
BTC_USDT,1d,phase6,accumulation,nan,11,132,30,15,10,nan,nan,nan,0.85
BTC_USDT,1d,phase6,bear,nan,26,312,30,15,10,nan,nan,nan,0.9
BTC_USDT,1d,phase6,capitulation,nan,3.5,42,30,15,10,nan,nan,nan,0.85
BTC_USDT,1d,phase6,distribution,nan,5,60,30,15,10,nan,nan,nan,0.89
BTC_USDT,1d,phase6,euphoria,nan,2,24,30,15,10,nan,nan,nan,0.93
BTC_USDT,1d,phase6,expansion,nan,3,36,30,15,10,nan,nan,nan,0.9
BTC_USDT,1d,regime3,down,nan,20,240,30,15,10,nan,nan,nan,0.89
BTC_USDT,1d,regime3,range,nan,11,132,30,15,10,nan,nan,nan,0.81
BTC_USDT,1d,regime3,up,nan,24.5,294,30,15,10,nan,nan,nan,0.9
BTC_USDT,2h,phase5,accumulation,522,1,14,360,180,120,nan,nan,nan,0.94
BTC_USDT,2h,phase5,bear,566.5,1,3,360,180,90,nan,nan,nan,0.92
BTC_USDT,2h,phase5,distribution,562,1,16.5,360,180,120,nan,nan,nan,0.92
BTC_USDT,2h,phase5,expansion,517,1,3,360,180,120,nan,nan,nan,0.96
BTC_USDT,2h,phase6,accumulation,522,1,14,360,180,120,nan,nan,nan,0.94
BTC_USDT,2h,phase6,bear,568.5,1,3,360,180,90,nan,nan,nan,0.93
BTC_USDT,2h,phase6,capitulation,1343,1,2,360,180,120,nan,nan,nan,0.94
BTC_USDT,2h,phase6,distribution,562,1,16.5,360,180,120,nan,nan,nan,0.92
BTC_USDT,2h,phase6,expansion,517,1,3,360,180,120,nan,nan,nan,0.96
BTC_USDT,2h,regime3,down,633,1,23,360,180,120,nan,nan,nan,0.91
BTC_USDT,2h,regime3,range,647,8.5,103,360,180,120,nan,nan,nan,0.9
BTC_USDT,2h,regime3,up,653,2,29,360,180,120,nan,nan,nan,0.92
